,DEPTH,GR,NPHI,PE,RHOB,AC,Lithology
0,770.8,68.87,0.43,0.99,1.916,384.91,2
1,770.84,68.38,0.399,1.0,2.041,376.11,2
2,770.88,65.32,0.358,1.16,2.192,366.95,2
3,770.92,65.47,0.333,1.5,2.323,358.01,2
4,770.96,66.36,0.313,1.92,2.367,349.87,2
5,771.0,65.03,0.298,2.13,2.359,342.99,1
6,771.04,66.45,0.293,2.2,2.338,337.69,1
7,771.08,68.83,0.298,2.33,2.314,334.15,1
8,771.12,67.63,0.295,2.38,2.31,332.33,1
9,771.16,67.57,0.296,2.29,2.321,331.98,1
10,771.2,71.65,0.298,2.24,2.332,332.68,1
11,771.24,78.22,0.301,2.28,2.329,333.86,1
12,771.28,86.65,0.303,2.31,2.324,334.99,1
13,771.32,90.91,0.298,2.33,2.335,335.7,1
14,771.36,87.03,0.292,2.38,2.338,335.83,1
15,771.4,84.05,0.289,2.39,2.323,335.42,1
16,771.44,85.76,0.282,2.37,2.301,334.58,1
17,771.48,89.93,0.278,2.36,2.284,333.45,1
18,771.52,90.81,0.281,2.4,2.271,332.16,1
19,771.56,82.91,0.292,2.41,2.274,330.71,1
20,771.6,76.37,0.297,2.36,2.288,329.08,1
21,771.64,74.77,0.304,2.35,2.304,327.17,1
22,771.68,72.94,0.304,2.36,2.33,324.93,1
23,771.72,74.06,0.298,2.41,2.356,322.28,1
24,771.76,78.62,0.289,2.54,2.379,319.28,1
25,771.8,83.01,0.284,2.69,2.389,316.03,1
26,771.84,79.79,0.281,2.76,2.384,312.74,1
27,771.88,73.16,0.285,2.74,2.383,309.71,1
28,771.92,72.17,0.29,2.66,2.394,307.18,1
29,771.96,79.72,0.287,2.61,2.411,305.32,1
30,772.0,85.84,0.278,2.78,2.402,304.08,1
31,772.04,84.69,0.263,2.95,2.389,303.24,1
32,772.08,77.39,0.259,2.86,2.39,302.53,1
33,772.12,71.05,0.258,2.75,2.386,301.71,1
34,772.16,69.41,0.268,2.69,2.385,300.77,1
35,772.2,67.72,0.268,2.69,2.389,299.75,1
